ID            day           CWSA          LNS           CLD           CUA
          5607             1           237            16            76            37
          5608             1           163           -13            65            34
          5609             1            47            -5           144             7
          5610             1            14            19            66             0
          5611             1           567           -17            60            82
          5607             2           268            18            76            41
          5608             2           193           -11            65            31
          5609             2             8            -6           143             1
          5610             2            16            20            67             0
          5611             2           565           -14            60            95
          6930             2            16             6           117             0
          6930             2             1           -10            95             0
          5602             3             2           -12           160             0
          5607             3           230            16            79            35
          5608             3           174           -12            66            31
          5610             3             8            19            65             0
          5611             3           625           -16            60            94
          5614             3            73            -7            39            10
          5607             4           195            16            77            43
          5608             4           149           -13            67            30
          5610             4            16            18            67             0
          5611             4           580           -17            61            83
          5614             4            72            -7            40             8
          5615             4             4             9           117             1
          5616             4             2            25           110             0
          5617             4            25             6            38            10
          5607             5           163            16            78            23
          5608             5           120           -13            67            18
          5610             5            57            17            67             0
          5611             5           603           -17            61            85
          5614             5            61            -7            41             7
          5615             5            34             9           118            12
          5616             5             8            25           110             0
          5617             5            19             6            38             3
          5607             6           168            16            78            18
          5608             6           117           -13            67            11
          5610             6            25            17            68             3
          5611             6           576           -17            61           100
          5614             6            51            -7            42            12
          5615             6            45             9           119             5
          5616             6            11            25           110             0
          5618             6            33            17            95             6
          5620             6           800            11           348            56
          6930             6            10           -23            88             1
          5607             7           141            16            78            20
          5608             7            99           -12            67            15
          5610             7            22            17            68             0
          5611             7           603           -17            61           109
          5614             7            39            -7            43             8
          5615             7            31             9           118             1
          5616             7            34            24           110             5
          5618             7            12            17            95             2
          5620             7           962            11           347           105
          5607             8           108            16            78            20
          5608             8            59           -12            68            12
          5610             8             4            18            67             0
          5611             8           773           -16            62           136
          5614             8            53            -6            44             9
          5620             8          1063            11           346           119
          5622             8           285            14           323            49
          6931             8             3           -21           340             0
          5607             9           114            16            78            17
          5608             9            58           -12            68            10
          5611             9           884           -16            61           126
          5614             9            61            -6            44            12
          5618             9            19            17            96             1
          5620             9           975            12           346           128
          5622             9           254            15           324            41
          5607            10           113            15            77            20
          5608            10            28           -13            68             7
          5611            10           949           -16            61           108
          5614            10            53            -6            45             8
          5620            10           927            12           346           101
          5622            10           240            15           324            45
          5607            11            83            16            76             9
          5608            11            23           -12            68             0
          5611            11           917           -16            61            88
          5614            11            30            -5            45             6
          5620            11           938            12           346           109
          5622            11           233            14           324            31
          5611            12           767           -16            61           111
          5614            12            14            -5            46             0
          5620            12           847            12           346            99
          5622            12           235            15           324            41
          6940            12             5             9           284             0
          5620            13           836            12           346           100
          5622            13           328            15           322            58
          5620            14           745            13           346           102
          5622            14           299            15           322            65
          6940            14             4            23           335             0
          5620            15           668            13           347            69
          5622            15           362            15           321            63
          5626            15            57             7           247             7
          6940            15            45            23           345             0
          5620            16           661            13           347            47
          5622            16           355            15           321            55
          5626            16            64             6           248             9
          5620            17           504            13           347            22
          5622            17           295            15           324            48
          5626            17            58             6           250            12
          5627            17           101            10           206            28
          5620            18           323            13           348            52
          5622            18           210            15           324            39
          5626            18            17             6           250             2
          5627            18            93            10           203            18
          5628            18            49             6           269             4
          5622            19           228            14           324            25
          5626            19            13             6           251             0
          5627            19           113            10           203            18
          5628            19           138             6           270            14
          5629            19            14             9           285             0
          5630            19            91            20           178            21
          5622            20           211            12           324            31
          5626            20            15             6           251             0
          5627            20            94            11           203            16
          5628            20           181             4           272            30
          5629            20             7             8           285             1
          5630            20            81            22           177            17
          5631            20            17           -10           243             1
          5632            20            10            15           222             1
          5633            20            19            23           169             0
          5626            21            10             6           252             4
          5627            21            95            10           203            15
          5628            21           341             5           272            61
          5630            21            57            20           177            11
          5631            21            47           -10           245            14
          5632            21            18            13           223             6
          5633            21             5            21           169             0
          6940            21            13            17           306             3
          5626            22            24             6           252             4
          5627            22           110            10           203            13
          5628            22           472             5           273            79
          5630            22            29            21           176             4
          5631            22            97           -10           245            16
          5632            22            11            13           225             4
          5635            22             5            18           247             0
          5636            22            11            10           151             2
          5626            23            11             6           252             3
          5627            23            90            10           203            16
          5628            23           495             4           276            72
          5630            23            14            21           176             4
          5631            23           148           -11           244            33
          5632            23            11            13           223             2
          5633            23             6            22           168             0
          5635            23            15            18           247             1
          5636            23             7            11           153             0
          6940            23             4            15           240             0
          5626            24             5             7           253             0
          5627            24           110            10           203            21
          5628            24           159             6           267            12
          5630            24             9            20           176             4
          5631            24           210           -10           245            34
          5633            24             5            22           170             0
          5636            24            10            10           152             0
          5638            24           273            15           114            27
          5627            25           100             9           204            15
          5630            25             9            21           176             0
          5631            25           207           -10           244            23
          5633            25             6            22           170             0
          5635            25             5            18           248             0
          5638            25           360            16           113            39
          5627            26            72            10           204            20
          5630            26             6            21           176             0
          5633            26             4            22           168             0
          5638            26           303            15           113            39
          5627            27            56             8           204             9
          5638            27           258            17           114            32
          5627            28            41             9           204             6
          5638            28           224            16           114            35
          5639            28           581           -18            61            43
          5640            28            10            12            58             0
          5627            29            54             8           204            13
          5638            29           194            16           114            36
          5639            29           592           -18            60            98
          5640            29            27            13            58             2
          5641            29             6            17            67             0
          5643            29           172             9            43            15
          6940            29             8            18            59             0
          5638            30           144            16           114            24
          5639            30           573           -19            60            90
          5641            30            91            15            70            20
          5643            30           166             8            43            19
          5644            30            25             8            35             0
          5638            31           114            16           115            22
          5639            31           570           -18            61           106
          5640            31             7            12            58             0
          5641            31           241            15            72            46
          5643            31           154             9            43            25
          5644            31            67             9            35             2
          5645            31             9            12           158             2
          5648            31            42           -33            58             1
          6940            31             3           -13            76             0
          6940            31             2            -2            70             0
