           330Day           CWSA          LAT           LONG          CUA
          2592             1            20           -10            35             4
          2593             1            20            12            27             4
          2588             1            60            -8            49            12
          2589             1            20            27            33             4
          2591             1            20            19            37             4
          2594             1            10           -37             9             2
          2596             1            10            18           348             2
          2597             1            10           -31           343             2
          2599             1            10            13           310             2
          2600             1            10            -9           314             2
          2593             2            30            12            27             6
          2588             2            60            -7            52            12
          2589             2            70            30            30            14
          2591             2            30            19            37             6
          2592             2            20            -9            36             4
          2596             2            20            18           344             4
          2599             2            20            12           308             4
          2600             2            10            -7           307             2
          2602             2            30           -14           286             6
          2588             3            50            -8            53            10
          2589             3            10            26            32             2
          2591             3            10            18            37             2
          2592             3            20            -9            38             4
          2593             3            40            11            27             8
          2596             3            20            20           348             4
          2602             3            30           -12           283             6
          2604             3            20           -20           317             4
          2605             3            10            -5           297             2
          2604             4            25           -20           317             5
          2588             4            20            -8            54             4
          2593             4            80            11            27            16
          2601             4            10             8           318             2
          2602             4            40           -11           283             8
          2605             4            30            -5           297             6
          2604             5            25           -20           316             5
          2593             5            70            11            28            14
          2602             5            40           -12           280             8
          2605             5            50            -5           298            10
          2606             5            30           -29            18             6
          2607             5            20            17           242             4
          2604             6            25           -20           316             5
          2593             6            20            11            19             4
          2602             6            20           -12           282             4
          2605             6            50            -5           299            10
          2606             6            70           -28           246            14
          2607             6            60            18           240            12
          2608             6           100            18           277            17
          2599             7            10            15           301             2
          2602             7            20           -12           281             4
          2604             7            30           -21           316             6
          2605             7            90            -4           299            18
          2606             7           110           -27           245            18
          2607             7            80            18           240            16
          2608             7           120            19           277            20
          2609             7            10           -12           227             2
          2610             7            20            10           267             4
          2602             8            20           -12           282             4
          2604             8            40           -22           317             8
          2605             8           170            -5           300            28
          2606             8           110           -28           244            18
          2607             8            50            18           241            10
          2608             8           120            19           276            20
          2609             8            20           -14           227             4
          2610             8            30            11           268             6
          2602             9            10           -12           282             2
          2604             9            30           -21           318             6
          2605             9           150            -6           302            25
          2606             9           110           -27           245            18
          2607             9            50            18           241            10
          2608             9            90            19           276            18
          2609             9            10           -13           225             2
          2610             9            90            10           269            18
          2611             9            20           -26           194             4
          2612             9            10            18           269             2
          2613             9            10            24           247             2
          2614             9            30            14           189             6
          2615             9            10             5           191             2
          2609            10            10           -14           221             2
          2613            10            15            24           246             3
          2600            10            20           -11           310             4
          2602            10            10           -12           281             2
          2605            10           280            -6           301            47
          2606            10           110           -27           244            18
          2607            10            80            18           240            16
          2608            10            80            19           279            16
          2610            10           280            11           270            47
          2611            10            40           -26           195             8
          2614            10            40            14           191             8
          2615            10            30             5           192             6
          2616            10            10           -12           186             2
          2617            10            20           -25           259             4
          2618            10            80           -29           171            16
          2609            11            10           -15           221             2
          2611            11            30           -25           198             6
          2600            11            20           -12           310             4
          2605            11           340            -6           303            57
          2606            11            90           -28           244            18
          2607            11            60            18           240            12
          2608            11            90            18           278            18
          2610            11           280            10           269            47
          2613            11            20            25           245             4
          2614            11           200            13           190            34
          2615            11           140             4           192            23
          2616            11            70           -11           184            14
          2618            11           100           -26           169            17
          2619            11            20           -22           209             4
          2620            11            20            14           163             4
          2621            11            70           -22           159            14
          2611            12            20           -25           198             4
          2605            12           230            -7           302            39
          2606            12            90           -27           243            18
          2607            12            60            18           240            12
          2608            12            60            18           280            12
          2609            12            10           -16           218             2
          2610            12           220            11           270            37
          2613            12            10            24           245             2
          2614            12           410            14           182            69
          2615            12           240             6           192            40
          2616            12            60            -9           185            12
          2618            12           110           -25           170            18
          2619            12            20           -21           210             4
          2620            12            20            15           161             4
          2621            12           120           -21           161            20
          2606            13            80           -27           243            16
          2607            13            70            18           240            14
          2608            13            40            18           281             8
          2610            13           150            11           269            25
          2611            13            10           -24           201             2
          2614            13           280            14           189            47
          2615            13           290             5           191            49
          2616            13            30            -8           184             6
          2618            13           130           -26           169            22
          2620            13            40            11           169             8
          2621            13            80           -21           162            16
          2625            13            10            16           143             2
          2606            14            60           -27           242            12
          2607            14            60            19           240            12
          2608            14            10            18           282             2
          2610            14           160            12           270            27
          2614            14           230            13           190            39
          2615            14           310             5           194            52
          2616            14            90           -10           186            18
          2618            14           100           -26           170            17
          2620            14            70            12           168            14
          2621            14            40           -21           162             8
          2625            14             5            15           146             1
          2626            14            20            -9           152             4
          2606            15            20           -29           242             4
          2607            15            30            18           239             6
          2614            15           110            13           191            18
          2615            15           200             4           193            34
          2616            15            20           -10           184             4
          2618            15           130           -26           170            22
          2620            15            90            12           168            18
          2621            15            80           -21           161            16
          2625            15            10            16           147             2
          2626            15            40            -9           151             8
          2627            15            10           -14           170             2
          2628            15            10            10           133             2
          2629            15           110            17           115            18
          2630            15            10           -18           226             2
          2606            16            20           -27           243             4
          2607            16            30            18           240             6
          2614            16           120            13           192            20
          2615            16           180             4           195            30
          2618            16           170           -26           171            28
          2620            16           100            11           167            17
          2621            16           130           -25           162            22
          2625            16            30            16           147             6
          2626            16            30            -9           152             6
          2628            16            20             9           134             4
          2629            16           310            17           115            52
          2631            16            10             6           167             2
          2607            17            60            17           241            12
          2614            17            70            11           196            14
          2615            17           140             4           196            23
          2618            17            90           -25           172            18
          2620            17            90            12           168            18
          2621            17           120           -22           161            20
          2625            17            70            15           145            14
          2626            17            60            -9           152            12
          2628            17            90            11           135            18
          2629            17           400            19           116            68
          2631            17            10             8           169             2
          2632            17            60            16            80            12
          2614            18            70            11           197            14
          2615            18           130             5           196            22
          2618            18            70           -26           170            14
          2620            18            80            12           167            16
          2621            18            80           -23           162            16
          2625            18            60            17           148            12
          2626            18            50            -9           153            10
          2628            18           100            10           134            17
          2629            18           410            18           117            69
          2631            18            10             8           169             2
          2632            18           130            15            80            22
          2614            19            80            11           196            16
          2615            19           120             3           197            20
          2618            19            40           -26           170             8
          2620            19            90            12           167            18
          2621            19            70           -21           160            14
          2625            19            40            16           147             8
          2626            19           130            -9           153            22
          2628            19           130            10           135            22
          2629            19           420            19           116            71
          2631            19             5             9           169             1
          2632            19            80            15            79            16
          2633            19            80           -30           190            16
          2634            19            10           -21           113             2
          2614            20            30            12           196             6
          2615            20            20             3           201             4
          2620            20           100            10           168            17
          2621            20            50           -21           160            10
          2625            20            30            17           145             6
          2626            20           130            -8           155            22
          2628            20           100            10           135            17
          2629            20           330            20           115            56
          2632            20            90            15            76            18
          2633            20            60           -27           190            12
          2634            20            20           -22           113             4
          2635            20            90            10            40            18
          2636            20             5           -23           145             1
          2620            21            30            10           170             6
          2625            21            50            17           147            10
          2626            21           110            -8           155            18
          2628            21            60            10           135            12
